"","Місто","Кімнат","Загальна_площа","Ціна"
"2","Вінниця",3,"120",1875000
"4","Вінниця",3,"66",975000
"5","Вінниця",2,"66",1375000
"7","Вінниця",2,"44",637500
"10","Вінниця",3,"63",835000
"11","Вінниця",1,"31",562500
"17","Вінниця",3,"46",1150000
"18","Вінниця",3,"64",8e+05
"21","Вінниця",1,"35",424975
"23","Вінниця",6,"200",12500
"27","Вінниця",2,"46",5e+05
"28","Вінниця",1,"50",999975
"29","Вінниця",1,"38",512500
"37","Вінниця",2,"68",1e+06
"38","Вінниця",3,"98",2575000
"39","Вінниця",3,"123",3075000
"44","Вінниця",3,"90",3775000
"45","Вінниця",2,"62",1050000
"50","Вінниця",1,"46",811250
"52","Вінниця",1,"50",975000
"55","Вінниця",2,"43",549975
"56","Вінниця",4,"62",775000
"57","Вінниця",1,"42,99",550000
"58","Вінниця",2,"50",712500
"59","Вінниця",2,"44",550000
"60","Вінниця",4,"61",925000
"62","Вінниця",3,"67",1e+06
"63","Вінниця",2,"65",975000
"64","Вінниця",2,"45",672500
"65","Вінниця",1,"32",435000
"66","Вінниця",2,"63",1375000
"68","Вінниця",1,"36",550000
"69","Вінниця",1,"38",512500
"70","Вінниця",2,"52",612500
"71","Вінниця",1,"52",750000
"72","Вінниця",2,"70",1299975
"75","Вінниця",1,"45,5",11500
"76","Вінниця",1,"34",462500
"77","Вінниця",3,"56",649975
"78","Вінниця",1,"36,3",625000
"79","Вінниця",2,"87,5",1175000
"80","Вінниця",4,"80",1399975
"81","Вінниця",1,"52",524750
"82","Вінниця",1,"42",625000
"83","Вінниця",1,"47,2",565000
"84","Вінниця",2,"60",1350000
"85","Вінниця",1,"48",470000
"86","Вінниця",2,"64",598000
"87","Вінниця",3,"95",936000
"88","Вінниця",2,"30",712500
"90","Вінниця",1,"50,28",492744
"91","Вінниця",1,"41",562500
"92","Вінниця",2,"45",637500
"93","Вінниця",1,"43",850000
"94","Вінниця",1,"36",450000
"95","Вінниця",2,"80,55",789390
"96","Вінниця",1,"48",470000
"99","Вінниця",1,"40",747500
"100","Вінниця",2,"83",997500
"102","Вінниця",2,"44",674975
"103","Вінниця",2,"53",899975
"104","Вінниця",1,"38",475000
"105","Вінниця",3,"100",12500
"106","Вінниця",3,"64",937500
"107","Вінниця",2,"48",672500
"108","Вінниця",3,"60",1125000
"109","Вінниця",2,"62",577000
"110","Вінниця",3,"72,6",975000
"111","Вінниця",2,"63,2",1225000
"113","Вінниця",2,"82,3",1125000
"115","Вінниця",2,"50",747500
"116","Вінниця",2,"78",775000
"117","Вінниця",3,"100",1950000
"118","Вінниця",1,"37",625000
"119","Вінниця",1,"43",650000
"120","Вінниця",2,"50",1050000
"123","Вінниця",1,"31",562500
"124","Вінниця",1,"24",375000
"127","Вінниця",3,"53",625000
"129","Вінниця",2,"64",1050000
"130","Вінниця",1,"33,5",387500
"131","Вінниця",3,"100",2e+06
"133","Вінниця",2,"50",747500
"134","Вінниця",2,"48",575000
"135","Вінниця",2,"55",620000
"136","Вінниця",4,"64",775000
"137","Вінниця",1,"30",450000
"138","Вінниця",1,"58,2",725000
"139","Вінниця",1,"54,5",682500
"141","Вінниця",2,"68",750000
"142","Вінниця",3,"64",987500
"143","Вінниця",3,"63",936250
